sample_size,method,A,variance,bias,standard_error,bias_over_stderr
1000,cevae,1.0,0.028758992008517476,3.972967147390034,0.1695847634916459,23.427618528864777
1000,cevae,2.0,0.02914572329736831,3.9899800056476877,0.17072118584806137,23.371323165472237
1000,cevae,3.0,0.028699091175216997,4.090879137754781,0.16940806112820309,24.148078376618233
1000,cevae,4.0,0.028390309133259527,4.068502666008273,0.1684942406530844,24.14624173644594
1000,cevae,5.0,0.03985351413905914,-0.054240707780429054,0.19963344944938244,-0.2717015005753428
1000,cevae,6.0,0.03587518019902481,-0.14687083588487437,0.18940744494085973,-0.7754227186303743
1000,cevae,7.0,0.038217775602941005,-0.1317630971969328,0.19549367151634603,-0.6740018547654907
1000,cevae,8.0,0.03975310907095188,-0.22589028499993588,0.19938181730276178,-1.132953285589332
1000,cevae,9.0,0.04081737924678978,-7.578136106619572,0.20203311423326073,-37.50937629892745
1000,cevae,10.0,0.03773050407837626,-8.226370276932862,0.19424341450452384,-42.35083231993573
1000,cevae,11.0,0.04094609115198678,-7.960728849103745,0.20235140511493066,-39.341109811331656
1000,cevae,12.0,0.042380284674516426,-7.75734315652913,0.2058647242111101,-37.68175041282999
1000,cevae,13.0,0.026671469269916377,4.09565262950835,0.16331402043277354,25.078389587465217
1000,cevae,14.0,0.026493156041731258,3.9933470326504286,0.16276718355286257,24.534104144853575
1000,cevae,15.0,0.027015267537842634,4.036321339116829,0.16436321832406006,24.557327243123094
1000,cevae,16.0,0.026367075811135503,4.025073862920647,0.16237941929670613,24.78807893484255
1000,cevae,17.0,0.03288190393733946,-0.0013932444647762221,0.18133368119943813,-0.007683318705937897
1000,cevae,18.0,0.0281996013032011,-0.11565296762720385,0.1679273691308272,-0.6887082684961382
1000,cevae,19.0,0.02567401252851527,-0.23248934767983429,0.16023112222198055,-1.450962487535654
1000,cevae,20.0,0.03288922912894387,-0.45164209200291394,0.1813538781745344,-2.4903911432666193
1000,cevae,21.0,0.03697195340966899,-8.066564380888215,0.19228092315585804,-41.951974478246406
1000,cevae,22.0,0.02845591262692592,-7.684575811726975,0.1686888040947766,-45.554747115341755
1000,cevae,23.0,0.02609220935564113,-7.823276776608158,0.16153083097551726,-48.432096395231866
1000,cevae,24.0,0.03388300332836924,-7.863241066208642,0.18407336398395407,-42.71797339942182
1000,cevae,25.0,0.026463988567610137,3.977171456250838,0.16267756012311635,24.44818728066038
1000,cevae,26.0,0.026084850708317543,4.021609572787155,0.16150805152783418,24.90036586252837
1000,cevae,27.0,0.02528655074404218,3.986527287210362,0.15901745421192662,25.069746632325124
1000,cevae,28.0,0.0258748190452226,3.958305743468391,0.16085651694980405,24.607680301218988
1000,cevae,29.0,0.02445535074593779,-0.5858747088509071,0.15638206657394507,-3.7464315550138667
1000,cevae,30.0,0.021580624441801116,-0.4334736416395007,0.14690345279060366,-2.9507382801776245
1000,cevae,31.0,0.01876207006836523,-0.4249028610404119,0.13697470594370784,-3.102053463907659
1000,cevae,32.0,0.022359698610583057,-0.4933924979953025,0.1495315973651825,-3.2995868879160777
1000,cevae,33.0,0.02492686800406091,-7.898092393777958,0.1578824499558482,-50.02514463125356
1000,cevae,34.0,0.024551898093329506,-7.785086794458965,0.15669045310206206,-49.68449985518941
1000,cevae,35.0,0.01929820812773942,-7.844288368493875,0.13891799065542024,-56.467044559773946
1000,cevae,36.0,0.02867107731493584,-8.111657683971455,0.16932535933797938,-47.90574616635126
1000,cevae,37.0,0.02551140437229515,4.005328595918087,0.1597228987099068,25.076733694851587
1000,cevae,38.0,0.02938710233362825,4.030453624521704,0.1714266675101288,23.51124059670333
1000,cevae,39.0,0.030630430719582446,3.9468457559586296,0.17501551565384837,22.55140489238014
1000,cevae,40.0,0.027902518863271518,3.929609708633362,0.16704047073470404,23.524896040759018
1000,cevae,41.0,0.023302141772028395,-0.7958672759340126,0.15265039067106378,-5.213660262743606
1000,cevae,42.0,0.03108349648444035,-0.7116100597423008,0.17630512325068817,-4.036241526177676
